EOSUSDT,SUSHIUSDT,BALUSDT,KNCUSDT,SRMUSDT,ENJUSDT,ZRXUSDT,QTUMUSDT,ATOMUSDT,IOTAUSDT,WAVESUSDT,ADAUSDT,BCHUSDT,XTZUSDT,BNBUSDT,IOSTUSDT,HNTUSDT,ETCUSDT,XMRUSDT,YFIUSDT,ZECUSDT,ETHUSDT,BZRXUSDT,BATUSDT,ALGOUSDT,DOGEUSDT,RLCUSDT,TRXUSDT,STORJUSDT,SNXUSDT,AVAXUSDT,XLMUSDT,NEOUSDT,MKRUSDT,DASHUSDT,THETAUSDT,KAVAUSDT,UNIUSDT,RUNEUSDT,LINKUSDT,DEFIUSDT,COMPUSDT,SOLUSDT,BTCUSDT,OMGUSDT,ICXUSDT,BLZUSDT,FTMUSDT,YFIIUSDT,LTCUSDT,BANDUSDT,XRPUSDT,SXPUSDT,CRVUSDT,DOTUSDT,EGLDUSDT,VETUSDT,ONTUSDT,TRBUSDT,ZILUSDT,LENDUSDT,FLMUSDT
2.572,1.2795,15.630,0.98270,1.7582,0.16217,0.3976,2.420,5.520,0.2790,2.4822,0.10023,227.32,2.199,28.519,0.005903,1.5590,5.330,99.47,23354.8,62.05,355.24,0.1910,0.2386,0.3434,0.002641,0.9103,0.02631,0.5018,4.565,4.2180,0.07296,18.964,544.77,67.61,0.7340,2.2802,4.0920,0.4845,9.917,589.7,133.65,2.8733,10742.88,3.9380,0.4116,0.11358,0.037404,3098.2,46.07,6.5152,0.2410,1.6800,0.937,4.332,10.269,0.013106,0.6261,22.806,0.01869,0.5339,0.6268
2.578,1.2831,15.876,0.98817,1.7658,0.16296,0.4022,2.463,5.480,0.2799,2.4891,0.10125,228.40,2.224,29.078,0.005959,1.6094,5.341,101.28,24129.9,62.13,357.09,0.1949,0.2398,0.3453,0.002650,0.9167,0.02635,0.5056,4.546,4.2676,0.07321,19.100,550.94,67.97,0.7357,2.2938,4.0670,0.4893,9.934,593.5,133.57,2.8911,10773.26,4.0653,0.4183,0.11574,0.037431,3130.4,46.23,6.5436,0.2413,1.6945,0.936,4.340,10.429,0.013400,0.6312,22.931,0.01862,0.5349,0.6304
2.582,1.2958,15.683,0.98919,1.7583,0.16265,0.4023,2.462,5.413,0.2801,2.4897,0.10073,229.48,2.223,28.955,0.005928,1.6054,5.390,100.74,24090.0,61.61,357.51,0.1928,0.2430,0.3524,0.002656,0.9148,0.02640,0.4970,4.593,4.2592,0.07325,18.953,548.27,68.06,0.7195,2.2718,4.0864,0.4860,9.950,593.0,134.08,2.9021,10777.89,4.0346,0.4169,0.11330,0.037273,3115.0,46.37,6.4654,0.2417,1.7213,0.949,4.333,10.596,0.013277,0.6285,23.031,0.01892,0.5267,0.6087
2.578,1.2903,15.518,0.99035,1.7462,0.16184,0.4020,2.444,5.406,0.2787,2.4917,0.10113,228.97,2.220,28.750,0.005897,1.5851,5.389,100.59,23668.9,61.38,356.95,0.1945,0.2421,0.3453,0.002648,0.9065,0.02631,0.4918,4.599,4.2672,0.07317,19.058,546.69,67.84,0.7291,2.2655,4.1338,0.4846,9.880,589.9,132.72,2.8730,10762.40,4.0049,0.4161,0.11308,0.037113,3101.3,46.24,6.4379,0.2412,1.7069,0.950,4.296,10.496,0.013278,0.6259,22.508,0.01869,0.5223,0.6081
2.567,1.2833,15.363,0.98811,1.7478,0.16041,0.4025,2.416,5.367,0.2752,2.4947,0.09959,226.81,2.201,28.804,0.005852,1.5550,5.371,100.17,23506.1,61.12,355.72,0.1953,0.2398,0.3442,0.002640,0.9023,0.02613,0.4933,4.745,4.3640,0.07283,18.946,545.22,67.49,0.7251,2.2594,4.0933,0.4826,9.804,587.7,132.26,2.8525,10724.84,3.9617,0.4145,0.11280,0.037848,3068.3,46.03,6.4259,0.2408,1.6664,0.941,4.288,10.448,0.013044,0.6195,22.445,0.01859,0.5209,0.6028
2.564,1.2788,15.286,0.97793,1.7452,0.15840,0.4016,2.404,5.342,0.2754,2.4980,0.09933,225.84,2.188,28.813,0.005847,1.5509,5.372,103.42,23461.2,61.42,355.18,0.1920,0.2389,0.3410,0.002640,0.9001,0.02604,0.4921,4.789,4.3288,0.07293,18.782,545.11,67.60,0.7133,2.2640,4.0952,0.4808,9.770,588.0,132.81,2.8501,10704.65,3.9477,0.4120,0.11212,0.037388,3062.9,45.94,6.4092,0.2392,1.6700,0.936,4.304,10.389,0.013025,0.6173,22.200,0.01839,0.5241,0.6095
2.569,1.2832,15.328,0.97954,1.8212,0.16050,0.4054,2.410,5.309,0.2773,2.5053,0.09954,226.12,2.181,28.940,0.005881,1.5511,5.385,104.91,23652.0,61.99,356.55,0.1928,0.2375,0.3414,0.002629,0.9008,0.02606,0.4948,4.764,4.2702,0.07375,18.861,555.88,67.73,0.7240,2.2528,4.1175,0.4837,9.759,589.6,132.18,2.8527,10700.97,3.9471,0.4142,0.11229,0.037445,3068.3,45.93,6.4173,0.2391,1.6759,0.937,4.363,10.279,0.013143,0.6194,22.688,0.01882,0.5253,0.6213
2.574,1.2752,15.355,0.98000,1.8279,0.15971,0.4057,2.415,5.304,0.2782,2.5027,0.09990,226.20,2.173,29.053,0.005856,1.5679,5.378,105.18,23574.8,61.82,357.10,0.1926,0.2369,0.3401,0.002626,0.8995,0.02606,0.5075,4.723,4.2907,0.07451,18.824,556.33,67.83,0.7242,2.2342,4.1012,0.4884,9.788,588.5,131.38,2.8628,10708.35,3.9137,0.4176,0.11207,0.036865,3060.3,45.88,6.4438,0.2394,1.6820,0.944,4.354,10.271,0.013264,0.6164,22.238,0.01948,0.5226,0.6219
2.579,1.2900,15.489,0.97909,1.8464,0.16005,0.4086,2.424,5.319,0.2863,2.5435,0.10073,227.79,2.197,29.388,0.005900,1.5744,5.389,108.88,23864.3,63.41,358.97,0.1943,0.2388,0.3468,0.002633,0.9042,0.02610,0.5064,4.725,4.2802,0.07453,18.960,565.29,68.76,0.7406,2.2655,4.1798,0.4907,9.835,595.5,132.53,2.8934,10741.00,4.0298,0.4213,0.11342,0.037195,3093.6,46.31,6.4730,0.2407,1.7591,0.954,4.374,10.340,0.013513,0.6221,22.480,0.01941,0.5319,0.6224
2.579,1.2820,15.692,0.98181,1.8482,0.16094,0.4097,2.437,5.374,0.2834,2.5788,0.10138,228.06,2.202,29.200,0.005918,1.5703,5.387,108.34,23845.5,64.13,359.71,0.1967,0.2395,0.3468,0.002633,0.9042,0.02620,0.5119,4.730,4.3210,0.07490,19.075,570.65,69.24,0.7456,2.2909,4.1604,0.4858,9.859,597.0,133.61,2.9004,10773.00,4.0204,0.4203,0.11461,0.039080,3090.5,46.29,6.4971,0.2416,1.7427,0.947,4.350,10.369,0.013532,0.6279,22.452,0.01955,0.5344,0.6307
